query_user,query_user_name,neighbors,same_user_neighbors,other_user_neighbors,same_user_fraction,same_user_mean_age,other_user_mean_age,same_user_mean_raw_distance,other_user_mean_raw_distance,same_user_mean_instance_distance,other_user_mean_instance_distance
70,72,181800,130710,51090,0.718976897689769,640.8809731466605,868.5416324133881,60.84800110010663,69.58011415466261,0.5276020900040885,0.6425588969627596
71,73,181800,154209,27591,0.8482343234323433,586.6899597299769,963.522018049364,20.707559490487718,28.620598388588366,0.4917198744839842,0.6422831817577318
72,74,181800,138248,43552,0.7604400440044005,644.0031826861872,764.5657604702425,35.80461301822076,43.936409012829884,0.5058995748434458,0.5618962243303361
73,75,181800,82148,99652,0.45185918591859187,1109.6050055996493,1242.106691285674,178.5980867828965,226.25514732668307,0.47667006264477585,0.6900495314636483
74,76,181800,144608,37192,0.7954235423542354,743.6396879840672,983.4385889438589,73.60614654980394,93.68818040785418,0.66527221108531,0.7131949264414338
75,77,181800,152414,29386,0.8383608360836083,737.7919088797616,1385.0701694684544,301.9762099253025,602.1961959322729,0.5597429049088645,0.9513415498583586
76,78,181800,111419,70381,0.6128657865786579,795.4979312325546,994.2303746749833,81.13968153623598,108.26439379896428,0.551691792804959,0.7360306935987296
77,79,181800,62689,119111,0.3448239823982398,930.2784220517157,1146.4917933692102,126.59162256945835,134.82780581148108,0.7032653112691528,0.7653783373880902
78,80,181800,67565,114235,0.3716446644664466,848.1503737142011,737.9407011861514,145.24383644799022,152.6364025433705,0.5951235354471585,0.6987743505125793
79,81,181800,74477,107323,0.40966446644664467,1213.5579037823757,1263.2811233379612,211.03210211384717,271.64215399342066,0.6401379275119402,0.9072216461334223
80,82,181800,165192,16608,0.9086468646864686,912.6763039372366,1263.5,100.04505846713526,125.85625675647934,0.7045393047831335,0.8994800551634763
81,83,181800,71418,110382,0.3928382838283828,1195.22708560867,1229.9703212480297,185.15996038662348,187.26791419049556,0.8103289157390033,1.016324290832834
82,84,181800,16982,164818,0.09341034103410341,1031.3371805441054,1241.039012729192,81.7415000959106,87.37433184630072,0.9533822230126886,1.0982160666548912
83,85,181800,94092,87708,0.5175577557755776,1076.500956510649,1175.5427555069093,27.67552845123719,35.82966039606662,0.48262371144533484,0.7146790481248573
84,86,181800,154700,27100,0.8509350935093509,1131.6988235294118,1143.1740221402215,15.64153578338734,19.39888469393403,0.6480937633089813,0.8493903106231091
85,87,181800,54113,127687,0.29765126512651263,1075.2934045423465,1261.2156288424037,205.67934920902235,234.99186370306057,0.422112991250637,0.6726686177877362
86,88,181800,175037,6763,0.9627997799779978,791.2294200654719,695.4322046429099,429.4325487149514,730.9668906794379,0.23807338696830793,0.37416825210062793
87,89,181800,95596,86204,0.5258305830583059,780.3396794844973,975.1287643264814,922.5675450953845,938.6132536576545,0.2775608708541014,0.30795212125797283
88,90,181800,160923,20877,0.8851650165016501,652.2325832851736,1090.8762753269148,63.63550042062165,102.92235914313395,0.32824349065509467,0.508078072711689
89,91,181800,113166,68634,0.6224752475247525,669.1291023805737,963.0394265232975,411.7551464934791,604.769693926824,0.23690255890440842,0.28117364450646964
90,92,181800,172504,9296,0.9488668866886689,588.1944998376849,1462.3321858864028,978.9887168999976,1196.0496282003012,0.5960876793229049,1.0373606727091458
91,93,181800,150574,31226,0.8282398239823983,881.2640163640469,1170.984179850125,527.7338656446086,669.8110216448968,0.19378763950777003,0.25696593287907277
92,94,181800,166910,14890,0.9180968096809681,707.5034929003655,1007.6131631967763,349.9088357934671,748.041788797782,0.2158910435783835,0.39448350725796816
93,95,181800,117141,64659,0.6443399339933994,778.9814326324686,1466.377766436227,183.17028390465597,242.37592572606454,0.34103136621783564,0.3742420130859226
94,96,181800,137792,44008,0.7579317931793179,966.8095680445889,1174.0890747136884,268.1801530222975,278.10571296413127,0.597546475930585,0.8783734032728145
95,97,181800,126533,55267,0.696001100110011,657.9664119241621,1055.1644923733875,60.31932380697192,74.4263870644009,0.4973950388565179,0.6263609128358825
96,98,181800,78021,103779,0.42915841584158415,899.5199753912408,1127.5113462261152,67.89059638595684,73.62027816626164,0.74261840377887,0.944842851969252
97,99,181800,105605,76195,0.5808855885588559,1169.1507788456986,1280.626392807927,60.08901453657497,69.191041328685,0.6107893204782886,0.7605923623861591
98,100,181800,181565,235,0.9987073707370737,1091.8566463800842,238.36595744680852,207.4815791127886,355.89916927256485,0.39957741671353,0.8247387949456559
99,101,181800,181565,235,0.9987073707370737,974.7440751246111,248.06808510638297,27.825821062636955,59.545761546682805,0.3451199106558777,0.7541776537895203
100,102,181800,179158,2642,0.9854675467546755,790.1221491644247,1654.800908402725,30.30518915404667,42.52191245709289,0.3851485001770084,0.6351072679271669
101,103,181800,94031,87769,0.5172222222222222,1192.9100828450191,1274.1982248857796,352.9394155817679,425.43016156783114,0.5203113193612421,0.7277482262819017
102,104,181800,73661,108139,0.4051760176017602,802.2045858731215,1241.8357114454545,68.56114273248919,70.97864318552539,1.0767592101974834,1.108762884419135
103,105,181800,115858,65942,0.6372827282728273,1225.5844913601131,1302.1173758757695,145.08064797935862,195.57769529380775,0.6114208815674429,0.9290861434329973
104,107,181800,126280,55520,0.6946094609460947,1206.567120684194,1181.0377521613832,45.067620366345416,59.75163934704893,0.6990518988188891,1.0709950436958748
105,108,181800,180041,1759,0.9903245324532454,1116.8894640665183,465.91927231381464,23.40147073879593,36.675886506584305,0.3451315086637472,0.5431676602383918
106,109,181800,156214,25586,0.8592629262926292,1160.2631262242821,1221.9016649730322,92.61557984521218,119.00063284673655,0.28862871765136117,0.48606676044740305
107,110,181800,97444,84356,0.535995599559956,1101.8865399614137,1419.0305846649912,43.52952562927353,56.77795521624765,0.35775078329108606,0.5018002699257396
108,111,181800,53540,128260,0.2944994499449945,617.3334329473291,1325.736160923125,68.04865522259956,79.10078256419087,0.6045723096070603,0.7046551045886016
109,112,181800,43857,137943,0.24123762376237623,859.5219919283124,1373.6882625432245,271.11208374035965,294.45176099148904,0.5745229123181351,0.6604916272218146
110,114,181800,148321,33479,0.8158470847084709,804.2272638399148,1247.9440843513844,5.112720475845863,11.563041938768748,1.1560706152917546,1.2655341874695354
111,115,181800,77764,104036,0.42774477447744774,749.1247363818734,1223.0214156638087,29.472409719707336,64.39136307322217,0.9815170100537184,1.0977110946364408
112,116,181800,93668,88132,0.5152255225522552,729.4221292223598,1388.9998638406028,107.83832021726208,117.43199958250698,0.9708478339781635,0.9798205575811437
113,117,181800,151433,30367,0.8329647964796479,874.4860631434364,1394.6041426548557,15.523107866439748,18.01495707592895,0.9674141868275579,1.0510018663477505
114,118,181800,138833,42967,0.7636578657865787,680.7975049159782,1288.5911513487094,18.033890319863318,23.018522722841453,1.1367890757628378,1.1472711991747193
115,119,181800,181202,598,0.9967106710671068,691.7123652056821,1010.7290969899666,616.4086293124217,1383.4837964928668,0.9006547018545323,1.1529997271239558
116,120,181800,181565,235,0.9987073707370737,1069.6391485143063,263.6936170212766,70.60506993595966,319.6761665506566,0.7955713193521908,0.9790286982313116
117,121,181800,155311,26489,0.8542959295929593,914.7478285504568,1200.1313752878552,7.231395082158261,6.906817300389247,1.2255581195334075,1.3897065578003316
118,122,181800,149808,31992,0.824026402640264,839.088433194489,1332.5671417854464,7.903658270897945,10.57394470741344,1.2185163135469934,1.3068056095649552
119,123,181800,103165,78635,0.5674642464246424,1122.3748364270828,1299.7928149043048,76.3898701075125,104.08332281820331,0.39066898022948365,0.5891404615822331
120,124,181800,123858,57942,0.6812871287128713,1200.853364336579,1329.7090193641918,102.24543838637724,168.49747085926805,0.3471663633965437,0.5338408975251789
